Farm_id;Time;Year;latitude;long;Severity;Severity Percent;SC1;SC2;SC3;SC4;SC5;SC6;SC7;SC8;;Av_RH2M;Sd_RH2M;Skew_RH2M;Kur_RH2M;Entr_RH2M;Av_T2MWET;Sd_T2MWET;Skew_T2MWET;Kur_T2MWET;Entr_T2MWET;Av_WD10M;Sd_WD10M;Skew_WD10M;Kur_WD10M;Entr_WD10M;Av_CLRSKY_SFC_PAR_TOT;Sd_CLRSKY_SFC_PAR_TOT;Skew_CLRSKY_SFC_PAR_TOT;Kur_CLRSKY_SFC_PAR_TOT;Entr_CLRSKY_SFC_PAR_TOT;Av_PS;Sd_PS;Skew_PS;Kur_PS;Entr_PS;Av_T2M_RANGE;Sd_T2M_RANGE;Skew_T2M_RANGE;Kur_T2M_RANGE;Entr_T2M_RANGE;Av_PRECTOTCORR;Sd_PRECTOTCORR;Skew_PRECTOTCORR;Kur_PRECTOTCORR;Entr_PRECTOTCORR;Av_ALLSKY_SFC_PAR_TOT;Sd_ALLSKY_SFC_PAR_TOT;Skew_ALLSKY_SFC_PAR_TOT;Kur_ALLSKY_SFC_PAR_TOT;Entr_ALLSKY_SFC_PAR_TOT;;;Av_WD10M;Sd_WD10M;Skew_WD10M;Kur_WD10M;Entr_WD10M;Av_PS;Sd_PS;Skew_PS;Kur_PS;Entr_PS;Av_RH2M;Sd_RH2M;Skew_RH2M;Kur_RH2M;Entr_RH2M;;;Av_WD10M;Sd_WD10M;Skew_WD10M;Kur_WD10M;Entr_WD10M;Av_RH2M;Sd_RH2M;Skew_RH2M;Kur_RH2M;Entr_RH2M;Av_PS;Sd_PS;Skew_PS;Kur_PS;Entr_PS;Av_WS10M;Sd_WS10M;Skew_WS10M;Kur_WS10M;Entr_WS10M
Farm 10;Mid;2021;32,3399189;-80,5874389;4;18,5;0;0;0;1;0;0;0;0;;70,835435;9,830104;-0,03508364;1,985465;3,819145;21,582391;3,3636536;-0,83661635;2,727413;3,816095;170,988913;67,1353265;-0,16271063;2,040513;3,746718;149,076087;5,1976629;-0,43974358;2,370991;3,828044;101,743696;0,5053727;-0,04376206;2,260427;3,828629;6,633261;2,3412096;0,30790499;2,946783;3,766281;3,264783;5,3552598;2,42861842;9,997971;2,814934;126,27913;26,132216;-0,99476111;3,508357;3,805516;;;170,988913;67,1353265;-0,16271063;2,040513;3,746718;101,743696;0,5053727;-0,04376206;2,260427;3,828629;70,835435;9,830104;-0,03508364;1,985465;3,819145;;;170,988913;67,1353265;-0,16271063;2,040513;3,746718;70,835435;9,830104;-0,03508364;1,985465;3,819145;101,743696;0,5053727;-0,04376206;2,260427;3,828629;5,056087;1,1920784;0,08209099;2,595472;3,800989
Farm 10;Mid;2022;32,3399189;-80,5874389;5;37,5;0;0,002119;0,05971;0,938171;0;0;0;0;;69,963043;10,1815912;0,0428263;1,984028;3,818233;18,726522;3,774434;-0,84309613;3,339215;3,807058;168,334783;71,5040033;-0,3985306;2,360137;3,725044;141,700652;7,3827921;-0,17370011;2,819168;3,827308;101,60413;0,5319506;-0,01514157;3,223593;3,828628;7,637826;2,1456829;0,91601957;4,134478;3,791504;1,650652;3,3290008;2,35539812;7,408115;2,518616;124,653043;24,5952362;-1,13010127;3,383307;3,807638;;;168,334783;71,5040033;-0,3985306;2,360137;3,725044;101,60413;0,5319506;-0,01514157;3,223593;3,828628;69,963043;10,1815912;0,0428263;1,984028;3,818233;;;168,334783;71,5040033;-0,3985306;2,360137;3,725044;69,963043;10,1815912;0,0428263;1,984028;3,818233;101,60413;0,5319506;-0,01514157;3,223593;3,828628;5,239565;1,3112792;0,56351581;2,788716;3,798646
Farm 11-1;End;2022;34,8871259;-82,0158064;4;18,5;0;0,00772;0,906555;0,007388;0;0,078336;0;0;;68,042826;9,5383684;-0,58537552;4,324519;4,511646;22,504348;2,4713734;-0,88558048;3,195133;4,515588;193,359891;68,0682875;-0,46268763;2,524634;4,452393;149,083261;5,4520366;-0,1925321;2,609075;4,521125;98,624022;0,3099275;-0,04419495;2,244157;4,521784;12,175109;2,6719896;0,12286165;3,62733;4,497461;3,249891;5,4150664;3,51790502;18,665144;3,656794;121,680652;25,1816837;-0,88830503;3,511145;4,498564;;;193,359891;68,0682875;-0,46268763;2,524634;4,452393;98,624022;0,3099275;-0,04419495;2,244157;4,521784;68,042826;9,5383684;-0,58537552;4,324519;4,511646;;;193,359891;68,0682875;-0,46268763;2,524634;4,452393;68,042826;9,5383684;-0,58537552;4,324519;4,511646;98,624022;0,3099275;-0,04419495;2,244157;4,521784;2,167609;0,7237211;0,43921045;2,470957;4,467075
Farm 11-1;Mid;2022;34,8871259;-82,0158064;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 11-2;End;2022;34,8871259;-82,0158064;3;9;0;0;0;0;0;1;0;0;;68,042826;9,5383684;-0,58537552;4,324519;4,511646;22,504348;2,4713734;-0,88558048;3,195133;4,515588;193,359891;68,0682875;-0,46268763;2,524634;4,452393;149,083261;5,4520366;-0,1925321;2,609075;4,521125;98,624022;0,3099275;-0,04419495;2,244157;4,521784;12,175109;2,6719896;0,12286165;3,62733;4,497461;3,249891;5,4150664;3,51790502;18,665144;3,656794;121,680652;25,1816837;-0,88830503;3,511145;4,498564;;;193,359891;68,0682875;-0,46268763;2,524634;4,452393;98,624022;0,3099275;-0,04419495;2,244157;4,521784;68,042826;9,5383684;-0,58537552;4,324519;4,511646;;;193,359891;68,0682875;-0,46268763;2,524634;4,452393;68,042826;9,5383684;-0,58537552;4,324519;4,511646;98,624022;0,3099275;-0,04419495;2,244157;4,521784;2,167609;0,7237211;0,43921045;2,470957;4,467075
Farm 11-2;Mid;2022;34,8871259;-82,0158064;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 12;End;2022;35,0406756;-80,9458561;6;62,5;0;0;0;0;0;1;0;0;;67,382717;9,5266969;-0,60873265;3,629823;4,511481;22,722826;2,5403263;-0,98008304;3,352083;4,515332;186,237065;65,3099636;-0,61038211;2,663343;4,451232;148,532609;5,4597659;-0,40945972;3,941482;4,521116;99,26413;0,318082;-0,04258885;2,227904;4,521783;12,420761;2,8201497;0,08311246;2,547336;4,495873;3,019565;4,7356624;2,48843223;10,180238;3,620152;121,488261;24,4199309;-1,1488296;4,630487;4,499323;;;186,237065;65,3099636;-0,61038211;2,663343;4,451232;99,26413;0,318082;-0,04258885;2,227904;4,521783;67,382717;9,5266969;-0,60873265;3,629823;4,511481;;;186,237065;65,3099636;-0,61038211;2,663343;4,451232;67,382717;9,5266969;-0,60873265;3,629823;4,511481;99,26413;0,318082;-0,04258885;2,227904;4,521783;2,070435;0,6615349;0,46666339;2,632902;4,471818
Farm 12;Mid;2022;35,0406756;-80,9458561;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 13;End;2022;34,8127576;-81,2484422;7;81,5;0;0,026349;0,973651;0;0;0;0;0;;67,382717;9,5266969;-0,60873265;3,629823;4,511481;22,722826;2,5403263;-0,98008304;3,352083;4,515332;186,237065;65,3099636;-0,61038211;2,663343;4,451232;148,464783;5,3089173;-0,44289237;4,080094;4,521152;99,26413;0,318082;-0,04258885;2,227904;4,521783;12,420761;2,8201497;0,08311246;2,547336;4,495873;3,019565;4,7356624;2,48843223;10,180238;3,620152;120,365761;25,5328746;-0,82646341;3,094445;4,497545;;;186,237065;65,3099636;-0,61038211;2,663343;4,451232;99,26413;0,318082;-0,04258885;2,227904;4,521783;67,382717;9,5266969;-0,60873265;3,629823;4,511481;;;186,237065;65,3099636;-0,61038211;2,663343;4,451232;67,382717;9,5266969;-0,60873265;3,629823;4,511481;99,26413;0,318082;-0,04258885;2,227904;4,521783;2,070435;0,6615349;0,46666339;2,632902;4,471818
Farm 13;Mid;2022;34,8127576;-81,2484422;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 14;End;2020;34,81950278;-81,98070278;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 14;Mid;2020;34,81950278;-81,98070278;6;62,5;0,017665;0,024969;0,269527;0,626158;0;0;0;0,061681;;77,913913;7,0946401;0,01156992;1,847258;3,824577;22,631522;2,5695127;-1,58396358;5,276001;3,821875;190,547174;83,3353149;-0,6372997;2,18886;3,715384;150,446957;3,5506625;-0,1862214;2,289036;3,828369;98,577174;0,3177677;0,26699927;2,234579;3,828636;9,743913;2,1252153;-0,64859883;3,084471;3,803527;2,674348;2,8060266;1,11146598;3,114439;3,312473;122,976522;25,260526;-1,08288274;3,632661;3,805726;;;190,547174;83,3353149;-0,6372997;2,18886;3,715384;98,577174;0,3177677;0,26699927;2,234579;3,828636;77,913913;7,0946401;0,01156992;1,847258;3,824577;;;190,547174;83,3353149;-0,6372997;2,18886;3,715384;77,913913;7,0946401;0,01156992;1,847258;3,824577;98,577174;0,3177677;0,26699927;2,234579;3,828636;2,100217;0,8326197;1,12446813;3,930641;3,757725
Farm 15;End;2020;34,82093333;-81,9805;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 15;Mid;2020;34,82093333;-81,9805;7;81,5;0,033801;0,291307;0,410928;0,085138;0;0;0;0,178826;;77,913913;7,0946401;0,01156992;1,847258;3,824577;22,631522;2,5695127;-1,58396358;5,276001;3,821875;190,547174;83,3353149;-0,6372997;2,18886;3,715384;150,446957;3,5506625;-0,1862214;2,289036;3,828369;98,577174;0,3177677;0,26699927;2,234579;3,828636;9,743913;2,1252153;-0,64859883;3,084471;3,803527;2,674348;2,8060266;1,11146598;3,114439;3,312473;122,976522;25,260526;-1,08288274;3,632661;3,805726;;;190,547174;83,3353149;-0,6372997;2,18886;3,715384;98,577174;0,3177677;0,26699927;2,234579;3,828636;77,913913;7,0946401;0,01156992;1,847258;3,824577;;;190,547174;83,3353149;-0,6372997;2,18886;3,715384;77,913913;7,0946401;0,01156992;1,847258;3,824577;98,577174;0,3177677;0,26699927;2,234579;3,828636;2,100217;0,8326197;1,12446813;3,930641;3,757725
Farm 16;End;2020;34,817525;-81,97640278;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 16;Mid;2020;34,817525;-81,97640278;6;62,5;0,028101;0,016732;0,775458;0,104585;0;0;0;0,075124;;77,913913;7,0946401;0,01156992;1,847258;3,824577;22,631522;2,5695127;-1,58396358;5,276001;3,821875;190,547174;83,3353149;-0,6372997;2,18886;3,715384;150,446957;3,5506625;-0,1862214;2,289036;3,828369;98,577174;0,3177677;0,26699927;2,234579;3,828636;9,743913;2,1252153;-0,64859883;3,084471;3,803527;2,674348;2,8060266;1,11146598;3,114439;3,312473;122,976522;25,260526;-1,08288274;3,632661;3,805726;;;190,547174;83,3353149;-0,6372997;2,18886;3,715384;98,577174;0,3177677;0,26699927;2,234579;3,828636;77,913913;7,0946401;0,01156992;1,847258;3,824577;;;190,547174;83,3353149;-0,6372997;2,18886;3,715384;77,913913;7,0946401;0,01156992;1,847258;3,824577;98,577174;0,3177677;0,26699927;2,234579;3,828636;2,100217;0,8326197;1,12446813;3,930641;3,757725
Farm 17;End;2020;30,7646;-84,3634;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Farm 17;End;2021;30,7646;-84,3634;4;18,5;0;0,003707;0,910785;0,085508;0;0;0;0;;73,947105;11,8062056;-0,08434482;1,735371;4,318005;22,156974;3,0211014;-1,43708192;4,327351;4,320811;175,020658;66,0976711;-0,17331494;1,637556;4,255411;151,429737;4,2003076;-0,96788894;4,8196;4,33035;101,008816;0,3534062;-0,12384178;2,446792;4,330727;10,875658;3,480828;-0,20268791;2,210176;4,276724;4,334605;5,5283532;1,48495853;4,999534;3,566176;117,191579;27,3362833;-0,63627646;2,518285;4,301759;;;175,020658;66,0976711;-0,17331494;1,637556;4,255411;101,008816;0,3534062;-0,12384178;2,446792;4,330727;73,947105;11,8062056;-0,08434482;1,735371;4,318005;;;175,020658;66,0976711;-0,17331494;1,637556;4,255411;73,947105;11,8062056;-0,08434482;1,735371;4,318005;101,008816;0,3534062;-0,12384178;2,446792;4,330727;2,578158;0,9271069;0,67268599;3,396195;4,268399
Farm 17;Mid;2020;30,7646;-84,3634;8;91;0;0,003271;0,918267;0,078462;0;0;0;0;;72,558043;9,0203443;0,07620587;2,24714;3,821062;20,930652;3,4780502;-1,19457301;3,680128;3,813959;157,995652;75,6798292;0,10831853;1,900022;3,709152;152,610217;3,3228906;-0,29498591;3,257649;3,828409;100,861087;0,3006898;-0,1180206;2,608157;3,828637;11,301739;3,1880076;0,0833589;2,23492;3,788832;3,307609;5,9272985;2,29365856;7,360963;2,720832;123,449783;29,847074;-1,06963331;3,250396;3,796315;;;157,995652;75,6798292;0,10831853;1,900022;3,709152;100,861087;0,3006898;-0,1180206;2,608157;3,828637;72,558043;9,0203443;0,07620587;2,24714;3,821062;;;157,995652;75,6798292;0,10831853;1,900022;3,709152;72,558043;9,0203443;0,07620587;2,24714;3,821062;100,861087;0,3006898;-0,1180206;2,608157;3,828637;2,756304;0,8249427;0,1787216;2,099568;3,784236
