Farm id,Time,Year,Severity,Rel,Abs,State,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,shannon_diversity,Av_T2M,Av_T2MDEW,Av_T2MWET,Av_TS,Av_T2M_RANGE,Av_QV2M,Av_RH2M,Av_PRECTOTCORR,Av_CLRSKY_SFC_PAR_TOT,Av_ALLSKY_SFC_PAR_TOT,Av_PS,Av_WS10M,Av_WD10M,Av_ALLSKY_SFC_LW_DWN,Sd_T2M,Sd_T2MDEW,Sd_T2MWET,Sd_TS,Sd_T2M_RANGE,Sd_QV2M,Sd_RH2M,Sd_PRECTOTCORR,Sd_CLRSKY_SFC_PAR_TOT,Sd_ALLSKY_SFC_PAR_TOT,Sd_PS,Sd_WS10M,Sd_WD10M,Sd_ALLSKY_SFC_LW_DWN,Skew_T2M,Skew_T2MDEW,Skew_T2MWET,Skew_TS,Skew_T2M_RANGE,Skew_QV2M,Skew_RH2M,Skew_PRECTOTCORR,Skew_CLRSKY_SFC_PAR_TOT,Skew_ALLSKY_SFC_PAR_TOT,Skew_PS,Skew_WS10M,Skew_WD10M,Skew_ALLSKY_SFC_LW_DWN,Kur_T2M,Kur_T2MDEW,Kur_T2MWET,Kur_TS,Kur_T2M_RANGE,Kur_QV2M,Kur_RH2M,Kur_PRECTOTCORR,Kur_CLRSKY_SFC_PAR_TOT,Kur_ALLSKY_SFC_PAR_TOT,Kur_PS,Kur_WS10M,Kur_WD10M,Kur_ALLSKY_SFC_LW_DWN,Entr_T2M,Entr_T2MDEW,Entr_T2MWET,Entr_TS,Entr_T2M_RANGE,Entr_QV2M,Entr_RH2M,Entr_PRECTOTCORR,Entr_CLRSKY_SFC_PAR_TOT,Entr_ALLSKY_SFC_PAR_TOT,Entr_PS,Entr_WS10M,Entr_WD10M,Entr_ALLSKY_SFC_LW_DWN,Commercial/small scale
Farm 2,Mid,2022,3,0.301,0.0624575,Alabama,0,0,0,1,0,0,0,0,0,22.827609,16.871087,19.850435,23.275652,12.376957,12.259783,72.876739,3.417391,144.466304,117.283043,100.972391,3.228478,163.043261,369.258478,2.9162954,3.751394,3.031944,3.2149751,3.1074962,2.6936242,10.9570826,6.528902,6.7891107,33.2030266,0.3709638,0.8030856,66.0066496,30.542287,-0.5716154,-0.77345,-0.9396353,-0.3800639,-0.2897802,-0.3705755,-0.1580289,2.2692418,-0.8534749,-1.0856809,0.362203,0.4085467,-0.2771885,-1.0278241,3.73026,2.917341,3.685673,3.534324,2.743272,2.418029,2.470542,7.223071,4.41934,3.437548,3.335233,3.396879,2.306354,3.468263,3.820372,3.802314,3.816481,3.819029,3.796003,3.803865,3.817389,2.580668,3.827545,3.782366,3.828635,3.798469,3.73773,3.825187,Commercial
Farm 2,End,2022,6,0.78004,0.4368224,Alabama,0,0.004429,0.013113,0.982459,0,0,0,0,0.390677152,25.256962,18.610253,21.93443,25.862911,12.19519,13.683418,70.708228,3.109241,147.93038,124.810253,100.883797,2.84038,167.592911,384.671646,3.8489057,3.6847798,3.4762623,4.1554278,2.7909197,2.8399408,10.2942484,5.3280385,6.9096785,29.2520596,0.3619438,0.8518659,70.8291771,30.8554916,-0.33257093,-1.10266358,-0.90121686,-0.32024975,-0.25887624,-0.63225243,-0.08800859,2.60409911,-1.05455633,-1.43585933,0.30866592,0.58007424,0.06199683,-1.19845251,2.84804,3.853406,3.557172,2.734712,2.988352,2.899384,2.73757,10.000907,4.575841,4.733172,3.337989,3.101602,2.354942,4.286287,4.357646,4.348006,4.356221,4.356314,4.342294,4.346703,4.358836,3.352878,4.368351,4.33722,4.369442,4.325948,4.274281,4.366154,Commercial
Farm 3,End,2020,6,0.51537,0.25510815,Alabama,0,0.008182,0.426741,0.565077,0,0,0,0,1.100793617,24.805915,19.908169,22.357042,24.816901,10.763521,14.919155,77.320563,3.15493,149.320141,119.520423,98.869014,1.643662,183.763662,396.506761,2.9921037,2.2784621,2.385537,2.9644289,2.5908223,2.0154764,9.0661595,3.8774258,5.3870473,25.8617545,0.2836454,0.5482315,67.2658854,22.76654,-0.273976629,-0.961165193,-0.943903688,-0.233914039,-0.323348877,-0.741090179,-0.196364357,1.504959391,-1.676226943,-0.819297735,0.001324333,0.76413053,-0.480666262,-1.201664015,2.570163,2.98739,3.173536,2.492136,2.467119,2.637879,2.030117,4.636874,10.206533,3.215782,2.164858,3.190109,2.774856,3.635714,4.255381,4.25594,4.256842,4.255536,4.232567,4.253304,4.255818,3.582831,4.262024,4.237435,4.262676,4.209942,4.186035,4.261014,Commercial
Farm 3,End,2021,3,0.72211,0.22024355,Alabama,0,0,1,0,0,0,0,0,0,23.770364,19.579818,21.674909,23.713091,10.279818,14.658727,79.694545,5.517636,149.164909,113.438182,98.964545,1.824545,177.660545,391.589455,2.0868166,2.851721,2.3227154,2.0340544,2.9489405,2.3706977,7.8568995,7.8510525,4.7218828,30.4868126,0.3287283,0.4666659,70.429277,22.914132,-1.5701589,-1.2684291,-1.6463823,-1.488141,0.1524788,-0.9091682,-0.2612229,2.344248,0.1712962,-0.7017799,-0.2409238,0.7529264,-0.1573341,-1.3546054,6.647772,4.237166,6.15216,6.189416,2.675973,3.171918,2.017297,9.076783,2.192172,2.968307,2.176509,3.377287,2.979682,3.759726,4.003339,3.996082,4.001285,4.003537,3.965915,3.993648,4.002505,3.224854,4.006842,3.967611,4.007328,3.976288,3.919073,4.005604,Commercial
Farm 3,Mid,2022,1,0.4464,0.191394,Alabama,0,0,0,1,0,0,0,0,0,26.515435,19.31587,22.915435,26.478696,13.353478,14.453261,68.645,3.066957,150.971522,131.17913,98.811304,1.501087,199.153261,399.139783,2.7633391,2.6944837,2.4297542,2.7910337,2.5208113,2.3022125,8.7018845,5.8302185,3.6414142,19.0001672,0.279568,0.4261154,68.8294539,20.0266678,-0.5166575,-0.7589333,-0.6148212,-0.5113462,0.5596746,-0.4602619,-0.1834701,3.309243,-0.41914,-0.787985,0.1481615,0.3062282,-0.3801527,-1.0714684,2.55602,3.071231,2.56781,2.541914,4.225038,2.595606,3.356491,13.898097,2.907945,2.56014,2.109065,2.210694,2.392414,3.479549,3.823208,3.81868,3.822996,3.823083,3.811434,3.815777,3.820648,2.787651,3.828356,3.817888,3.828637,3.789233,3.763612,3.827386,Commercial
Farm 3,End,2022,5,0.86322,0.4100295,Alabama,0,0.004116,0.942143,0.053741,0,0,0,0,0.678319087,26.868434,19.829759,23.348795,26.91253,12.900361,14.862048,69.333373,3.234458,147.681446,125.367952,98.876265,1.487952,196.954337,404.099759,2.2574486,2.3270158,2.0136706,2.3118216,2.4908787,2.0052825,7.5554006,5.3439289,5.7116044,20.0062303,0.27086,0.4263565,58.761732,16.8952273,-0.9009753,-1.0672364,-1.0691949,-0.9100803,0.3181001,-0.7451933,-0.3361959,3.1187192,-0.6045908,-0.6670833,-0.1208491,0.2509188,-0.4091426,-1.5682113,3.754011,4.040962,3.847954,3.662431,3.670949,3.245483,3.768716,13.43114,2.978072,3.046617,2.099061,2.165669,2.889878,5.454393,4.415249,4.411679,4.415035,4.415083,4.40042,4.409443,4.412857,3.549815,4.418095,4.405609,4.418837,4.378047,4.370388,4.417957,Commercial
Farm 4,Mid,2020,5,0.74136,0.3512193,Alabama,0,0,0,0,0,1,0,0,0,21.866087,17.477174,19.672174,22.425217,6.928261,12.743043,77.645217,4.085652,147.206957,124.466087,101.373478,4.146304,176.281739,366.889783,2.5577477,4.0435664,3.245472,2.1737124,2.268764,3.0624347,8.7594337,6.3857681,7.5999076,30.5985582,0.3958014,1.1371511,69.0327781,32.0477152,-0.329210832,-0.540790153,-0.49757818,0.101410287,0.006041805,-0.2199792,-0.061270472,1.647269473,-2.181483458,-1.231785784,-0.073451749,0.093117002,0.040652644,-0.255775668,2.699093,2.333276,2.45126,2.466179,2.278662,1.940374,2.341009,4.226072,9.144954,3.754564,2.027684,2.404933,2.349406,1.785416,3.821819,3.800693,3.814798,3.824043,3.773896,3.799303,3.822371,2.862017,3.827283,3.79428,3.828634,3.790969,3.748325,3.824873,Commercial
Farm 4,End,2020,6,0.77003,0.51014488,Alabama,0,0,0,0,0,1,0,0,0,24.063902,19.70122,21.883171,24.56939,6.148902,14.634024,77.880366,5.907683,148.54439,122.809512,101.374268,3.94378,175.832561,385.201585,3.2075046,4.1134757,3.5822222,2.975154,2.3024056,3.371237,7.9097339,12.1851322,8.3334692,31.1042716,0.3650673,1.5340358,64.6731788,33.9206917,-0.6031415,-0.93755453,-0.85060295,-0.39872419,0.2596242,-0.52607491,-0.07713048,4.42042015,-2.17550001,-1.06968052,-0.62200248,1.76062235,0.10658404,-0.69186555,2.444753,3.164241,2.92466,1.91163,2.248345,2.437088,2.421981,26.815374,9.119614,3.399749,3.627306,8.321241,2.410939,2.373475,4.397638,4.383114,4.39266,4.399325,4.336127,4.37875,4.40159,3.296891,4.405093,4.370282,4.406713,4.340254,4.336454,4.402799,Commercial
Farm 4,Mid,2021,2,0.7874,0.5413375,Alabama,0,0.004092,0,0,0.385123,0.610785,0,0,1.085041974,22.09587,18.402391,20.248478,22.460652,6.038913,13.371087,80.584348,4.787174,145.915435,117.034783,101.568478,4.012826,157.095217,371.47087,2.5019731,3.5794905,2.9766543,2.2057444,2.0464215,2.7862458,7.8633803,8.6865614,7.8253229,35.8943773,0.3559836,1.3588781,57.3472467,30.84213,-0.9808053,-0.845175471,-0.944882005,-0.714830437,0.008540949,-0.396566944,-0.137884637,1.982056657,-0.486834456,-1.001993049,-0.383591418,0.996514666,0.200617466,-0.669386284,3.479927,3.363785,3.492916,3.139122,2.492244,2.431079,2.304067,5.877503,1.91086,2.841605,2.767752,3.515454,2.684675,2.702544,3.822087,3.808588,3.817421,3.823789,3.769471,3.806377,3.823946,2.641391,3.827221,3.774677,3.828635,3.775981,3.760299,3.825197,Commercial
Farm 4,End,2021,6,0.40938,0.12230228,Alabama,0,0.008065,0,0,0.725853,0.266082,0,0,1.050182154,23.929737,20.445921,22.187237,24.276579,5.442895,15.235921,81.703026,7.382237,147.484079,116.110658,101.485921,3.940921,163,388.125658,3.0508766,3.8235391,3.3835956,2.8914124,2.1030998,3.2485037,6.7695934,12.5748443,6.7934959,33.3516762,0.3266647,1.3630507,57.4200658,31.9617844,-0.7811853,-1.07138393,-0.96829927,-0.54287941,0.40539939,-0.64932395,-0.48437872,3.21449231,-0.832674,-0.97851872,-0.03259287,1.2241294,0.38384646,-1.07980533,3.152197,3.6734,3.472887,2.587696,2.431086,2.505122,2.881951,16.837997,2.894354,2.968729,2.786891,4.904506,3.012563,3.343253,4.322368,4.311801,4.318499,4.323536,4.256675,4.306722,4.327289,3.376607,4.329672,4.283621,4.330728,4.275997,4.268185,4.327275,Commercial
Farm 4,Mid,2022,2,0.01347,0.00397365,Alabama,0,0,1,0,0,0,0,0,0,23.238913,19.156522,21.197609,23.67087,6.587391,14.063478,79.216087,4.788261,142.036957,122.452609,101.455435,3.835,163.14087,379.816087,3.0180061,3.6826821,3.2524823,2.962246,2.0618518,2.8125135,7.778065,8.2702098,6.1199567,22.8617987,0.3416347,1.1652653,52.018075,27.5451028,-0.79958725,-1.46601867,-1.27016135,-0.5690835,0.48388162,-0.89255704,-0.4608628,2.42122509,-0.89300537,-1.03762562,0.34977169,0.04896392,0.54818499,-1.51384885,3.339256,5.198156,4.637356,2.581613,2.345506,3.532301,2.383093,8.993721,3.646851,3.661995,3.126302,2.108149,3.652468,4.824847,3.820018,3.808004,3.816109,3.820744,3.781512,3.807308,3.823836,2.786369,3.827721,3.81,3.828636,3.782157,3.778688,3.825964,Commercial
Farm 4,End,2022,1,0.0027,0.0007155,Alabama,0,0,0,0,0,0,0,0,0,24.578551,20.351014,22.465072,25.017971,6.327826,15.135942,78.605797,4.483333,145.006667,125.979855,101.35087,3.632609,172.08029,388.442609,3.217836,3.5801738,3.3110162,3.1858158,1.9238334,2.9178005,7.0255214,7.7688673,7.0231911,22.1293208,0.344984,1.1505225,55.3477534,27.7538837,-0.8558554,-1.5703168,-1.2907158,-0.7164798,0.536373,-0.9119991,-0.2357074,2.5616902,-0.5613507,-1.0723451,0.4330907,0.317054,0.2801458,-1.3339257,3.527834,5.962303,4.970661,2.897629,2.750741,3.764784,2.505461,9.690256,3.404387,3.758059,3.293703,2.26247,2.693831,5.096695,4.225245,4.216733,4.222469,4.225803,4.189303,4.214141,4.230129,3.229214,4.232939,4.217547,4.234101,4.184556,4.182004,4.2315,Commercial
Farm 5,End,2022,0,0.00804,0.00206025,Alabama,0,0,0,0,0,0,0,0,0,27.445385,19.787582,23.615934,27.566593,13.06,14.731429,67.85011,3.526154,148.484176,123.397143,99.918242,1.542418,189.398242,405.33033,2.3116052,2.688416,2.0590715,2.3529004,3.2117295,2.2490589,9.7300803,5.3975257,4.6151073,23.1004956,0.2802205,0.4241628,61.4665801,18.2980871,-0.4983706,-1.1107885,-0.9322481,-0.4946695,-0.3396769,-0.7222758,0.124225,2.795134,-0.1514861,-1.1866243,-0.2137787,0.6585959,-0.1667327,-1.2821446,2.696198,4.1425,3.431711,2.696316,3.440784,3.211236,3.671155,13.005117,2.543368,4.970284,2.253297,3.073177,2.243137,4.385929,4.507291,4.501129,4.506981,4.507194,4.478812,4.498739,4.500624,3.677039,4.510381,4.491469,4.510856,4.474485,4.455344,4.509831,Small
Farm 6,Mid,2020,0,0.00003,1.42E-05,North Carolina,0,0,0,0,0,0,0,0,0,24.978478,20.595652,22.787174,25.27413,7.955435,15.19413,78.613913,3.913261,152.751739,125.362609,101.439348,3.328478,178.047391,395.204783,2.7617635,2.4795857,2.4975122,2.6797426,2.3503822,2.1218771,6.5574546,6.9618076,3.0599007,29.1914338,0.4047353,1.322348,67.3983253,20.0089326,-1.01065602,-1.66144536,-1.42717875,-0.79975215,-0.3418865,-1.16356839,0.09849107,2.34051944,-0.05341244,-1.56511351,0.29445462,0.78267892,-0.5361455,-1.61035339,3.345542,6.248626,4.781066,2.971546,2.62161,4.409572,2.841801,7.889182,2.292297,5.239408,2.185418,2.823384,2.497522,6.470853,3.822395,3.820945,3.822395,3.822955,3.782386,3.818418,3.825236,2.761701,3.828445,3.796702,3.828634,3.754885,3.747338,3.82735,Small
Farm 7,Mid,2020,7,0.59104,0.3199004,North Carolina,0,0.152426,0,0.837467,0,0.010106,0,0,0.955754986,25.080217,20.337391,22.708261,25.436087,9.386739,14.952174,77.319565,3.783043,152.751739,125.362609,101.331957,3.368261,179.124783,395.204783,2.7374777,2.392223,2.4271413,2.8031922,2.4608861,2.0441199,6.5478251,6.9206554,3.0599007,29.1914338,0.3963198,1.4107119,68.0234823,20.0089326,-1.01321283,-1.47865938,-1.38128613,-0.83486283,-0.42639613,-1.12628207,0.1040845,2.13735555,-0.05341244,-1.56511351,0.37575813,0.8565078,-0.46411238,-1.61035339,3.412678,5.183432,4.248794,3.174465,3.027152,3.93512,2.741038,6.171785,2.292297,5.239408,2.291337,3.063521,2.343301,6.470853,3.822557,3.821384,3.822728,3.822478,3.792208,3.818897,3.825133,2.711429,3.828445,3.796702,3.828634,3.747146,3.747955,3.82735,Small
Farm 7,End,2020,6,0.64609,0.32223739,North Carolina,0,0.179364,0.052041,0.768595,0,0,0,0,1.071818189,26.139231,21.180462,23.659846,26.560462,9.397385,15.752615,76.635846,4.111692,150.724615,125.670615,101.365692,3.346769,190.413231,403.232615,2.911529,2.4528634,2.5543948,3.0297135,2.4102614,2.1882087,6.4745337,6.7274934,4.531955,26.9876104,0.3748165,1.2502963,62.4534209,21.4080009,-0.9729945,-1.4321196,-1.3043452,-0.8093535,-0.447138,-1.0278481,0.1749892,1.9885412,-0.5985161,-1.5634994,0.173471,0.8676711,-0.8458205,-1.3404758,3.656921,5.373457,4.519374,3.308537,2.831833,3.953515,2.549707,5.876353,3.166714,5.437122,2.284812,3.634923,2.892788,5.756268,4.168007,4.167322,4.168321,4.167734,4.139432,4.164288,4.17088,3.194268,4.173939,4.147495,4.174381,4.108577,4.11194,4.172963,Small
Farm 8,Mid,2020,6,0.82595,0.44911031,South Carolina,0.327373,0.017746,0.54594,0.050862,0,0,0,0.058079,0.922712601,20.742826,15.576522,18.159565,21.986739,7.355652,11.328913,73.977174,4.131304,143.063043,123.969565,101.464783,5.58413,199.031957,354.404565,2.3325796,4.1692041,3.2107472,1.8885233,1.9445567,2.8292537,9.3864746,9.2161456,8.1825823,28.9407057,0.501676,1.5674205,67.352384,29.328262,-0.164679703,-0.478451419,-0.375976618,0.428258415,-0.171562899,-0.211634161,-0.511769105,2.758336176,-0.630354432,-1.478470209,0.007685161,0.684299824,-0.257881956,-0.201542921,1.976813,2.017872,2.001404,2.244414,2.218172,1.798742,1.87795,10.245582,2.302337,4.503245,2.453679,2.901294,2.241794,1.953958,3.822392,3.791068,3.81284,3.825067,3.792938,3.796972,3.820555,2.33512,3.82702,3.797233,3.828629,3.791283,3.767841,3.825266,Small
